name,market,funding_total_usd,country_code,region,city,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,age_first_funding,age_last_funding,status_binary,total_investment
Smartdate,Other," 78,00,000 ",FRA,Paris,Paris,2.0,3.0,1.0,2010.0,2800000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027397260273972,0.7287671232876712,0,7800000.0
SmartDocs (Teknowmics),Software ," 2,48,811 ",JPN,Tokyo,Tokyo,1.0,9.0,3.0,2010.0,0.0,248811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1095890410958904,0.1095890410958904,0,248811.0
Smarterer,Other," 46,00,000 ",USA,Boston,Boston,4.0,10.0,4.0,2010.0,1250000.0,3350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6602739726027397,3.372602739726027,1,4600000.0
SmartFocus,Other," 3,00,00,000 ",GBR,London,London,1.0,1.0,1.0,1999.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.780821917808218,13.780821917808218,1,30000000.0
smartfundit.com,Finance ," 51,70,000 ",GBR,Camberley,Camberley,1.0,1.0,1.0,2006.0,0.0,5170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.926027397260274,2.926027397260274,0,5170000.0
SmartSignal,Software ," 2,50,000 ",USA,Chicago,Lisle,1.0,1.0,1.0,1999.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23013698630137,6.23013698630137,1,250000.0
Smilebox,Other," 1,43,99,999 ",USA,Seattle,Redmond,4.0,8.0,3.0,2005.0,0.0,14399999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4301369863013699,4.493150684931507,1,14399999.0
Smish,Software ," 20,00,000 ",USA,Anaheim,Aliso Viejo,1.0,4.0,2.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9917808219178084,0.9917808219178084,0,2000000.0
SMR SITE,Curated Web ," 60,000 ",USA,Palm Beaches,Delray Beach,1.0,3.0,1.0,2009.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671232876712328,0.1671232876712328,0,60000.0
SMT Research and Development,Health Care ," 1,05,00,000 ",ISR,Tel Aviv,Herzliya,1.0,1.0,1.0,2004.0,0.0,10500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.257534246575342,7.257534246575342,0,10500000.0
Snacksquare,Other," 30,000 ",USA,Santa Barbara,Goleta,1.0,1.0,1.0,2010.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30000.0
SNAPin Software,Software ," 2,23,00,000 ",USA,Seattle,Bellevue,2.0,1.0,1.0,2003.0,0.0,22300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,19300000.0,0.0,0.0,0.0,0.0,0.0,2.526027397260274,3.104109589041096,1,22300000.0
SnapNames,E-Commerce ," 88,00,000 ",USA,"Portland, Oregon",Portland,3.0,1.0,1.0,2000.0,0.0,7800000.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,3300000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4164383561643836,2.0,1,8800000.0
SnappyTV,Other," 7,59,260 ",USA,SF Bay Area,San Francisco,2.0,1.0,1.0,2010.0,0.0,759260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0876712328767124,3.96986301369863,1,759260.0
Snaptalent,Advertising ,-   ,USA,SF Bay Area,San Francisco,1.0,11.0,4.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671232876712328,0.1671232876712328,0,0.0
SnapTell,Advertising ," 40,00,000 ",USA,SF Bay Area,Palo Alto,1.0,1.0,1.0,2006.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4301369863013698,1.4301369863013698,1,4000000.0
Snapvine,Messaging ," 1,20,00,000 ",USA,Seattle,Seattle,2.0,1.0,1.0,2005.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4958904109589042,2.665753424657534,1,12000000.0
Snipd,Curated Web ," 15,000 ",USA,SF Bay Area,Palo Alto,1.0,6.0,2.0,2008.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15000.0
